stock_symbol,date,opening,closing,low,high,volume,market_cap,p/e
ROIL,1/24/2014,0.2501,0.24,0.24,0.2888,18300,9.5M,N/A
RIOB, IN,1/22/2014,N/A,N/A,N/A,0.99,0,32.2M
RIOB, IN,1/22/2014,N/A,N/A,N/A,0.99,0,32.2M
BBLS,1/21/2014,N/A,0.45,N/A,N/A,0,6.3M,N/A
ROSE,1/24/2014,47.59,45.92,45.83,47.64,875450,2.813B,12.82
ROYL, In,1/24/2014,2.60,2.55,2.55,2.58,112901,37.8M
SJT,1/24/2014,17.05,17.58,16.85,17.71,160919,819.4M,31.30
SN,1/24/2014,26.64,26.27,26.03,26.76,530175,1.169B,N/A
SDR,1/24/2014,9.53,9.52,9.30,9.55,361771,473.4M,4.06
SDT,1/24/2014,10.40,10.25,10.15,10.43,180009,287.0M,4.15
PER,1/24/2014,13.19,13.04,12.91,13.19,286093,684.6M,5.80
SFPI,1/24/2014,0.0115,0.0115,0.0115,0.013,229000,561K,N/A
SARA,1/24/2014,1.02,1.01,1.01,1.07,87043,31.3M,N/A
SXLP,1/24/2014,N/A,0.50,N/A,N/A,0,425K,N/A
OILY,11/13/2013,N/A,0.105,N/A,N/A,0,4.6M,N/A
SKPI,1/24/2014,0.067,0.07,0.06,0.07,70604,4.8M,N/A
SM,1/24/2014,86.01,84.00,83.34,86.05,508258,5.627B,59.60
SWN,1/24/2014,41.64,41.66,41.205,42.19,4416915,14.610B,73.10
SPND,1/22/2014,N/A,3.60,N/A,N/A,0,25.0M,7.59
